Mã,Tên,Cấp,Nghị quyết,Mã TP,Tỉnh / Thành Phố
09739,Xã Phúc Lộc,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09772,Xã Hát Môn,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09784,Xã Đan Phượng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09787,Xã Liên Minh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09817,Xã Ô Diên,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09832,Xã Hoài Đức,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09856,Xã Dương Hòa,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09871,Xã Sơn Đồng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09877,Xã An Khánh,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09886,Phường Dương Nội,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09895,Xã Quốc Oai,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09910,Xã Kiều Phú,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09931,Xã Hưng Đạo ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09952,Xã Phú Cát ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09955,Xã Thạch Thất,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09982,Xã Hạ Bằng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
09988,Xã Hòa Lạc,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10003,Xã Tây Phương,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10015,Phường Chương Mỹ,Phường,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10030,Xã Phú Nghĩa,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10045,Xã Xuân Mai,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10072,Xã Quảng Bị,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10081,Xã Trần Phú ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10096,Xã Hòa Phú ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10114,Xã Thanh Oai,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10126,Xã Bình Minh ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10144,Xã Tam Hưng,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10180,Xã Dân Hòa ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10183,Xã Thường Tín,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10210,Xã Hồng Vân,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10231,Xã Thượng Phúc,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10237,Xã Chương Dương,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10273,Xã Phú Xuyên,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10279,Xã Phượng Dực,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10330,Xã Chuyên Mỹ,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10342,Xã Đại Xuyên,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10354,Xã Vân Đình,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10369,Xã Ứng Thiên,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10402,Xã Ứng Hòa,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10417,Xã Hòa Xá,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10441,Xã Mỹ Đức,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10459,Xã Phúc Sơn,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10465,Xã Hồng Sơn,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
10489,Xã Hương Sơn,Xã,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành phố Hà Nội
01273,Phường Thục Phán,Phường,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01279,Phường Nùng Trí Cao,Phường,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01288,Phường Tân Giang,Phường,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01290,Xã Bảo Lâm,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01294,Xã Lý Bôn,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01297,Xã Nam Quang,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01304,Xã Quảng Lâm,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01318,Xã Yên Thổ,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01321,Xã Bảo Lạc,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01324,Xã Cốc Pàng,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01327,Xã Cô Ba,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01336,Xã Khánh Xuân,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01339,Xã Xuân Trường,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01351,Xã Hưng Đạo,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01354,Xã Huy Giáp,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01360,Xã Sơn Lộ,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01363,Xã Thông Nông,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01366,Xã Cần Yên,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01387,Xã Thanh Long,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01392,Xã Trường Hà,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01393,Xã Lũng Nặm,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01414,Xã Tổng Cọt,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01438,Xã Hà Quảng,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01447,Xã Trà Lĩnh,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01456,Xã Quang Hán,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01465,Xã Quang Trung,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01477,Xã Trùng Khánh,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01489,Xã Đình Phong,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01501,Xã Đàm Thủy,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01525,Xã Đoài Dương,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01537,Xã Lý Quốc,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01552,Xã Quang Long,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01558,Xã Hạ Lang,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01561,Xã Vinh Quý,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01576,Xã Quảng Uyên,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01594,Xã Độc Lập,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01618,Xã Hạnh Phúc,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01636,Xã Bế Văn Đàn,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01648,Xã Phục Hòa,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01654,Xã Hòa An,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01660,Xã Nam Tuấn,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01699,Xã Nguyễn Huệ,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01708,Xã Bạch Đằng,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01726,Xã Nguyên Bình,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01729,Xã Tĩnh Túc,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01738,Xã Ca Thành,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01747,Xã Minh Tâm,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01768,Xã Phan Thanh,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01774,Xã Tam Kim,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01777,Xã Thành Công,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01786,Xã Đông Khê,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01789,Xã Canh Tân,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01792,Xã Kim Đồng,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01795,Xã Minh Khai,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01807,Xã Thạch An,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
01822,Xã Đức Long,Xã,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,Tỉnh Cao Bằng
00691,Phường Hà Giang 2,Phường,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00694,Phường Hà Giang 1,Phường,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00700,Xã Ngọc Đường,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00706,Xã Phú Linh,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00715,Xã Lũng Cú,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00721,Xã Đồng Văn,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00733,Xã Sà Phìn ,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00745,Xã Phố Bảng,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00763,Xã Lũng Phìn,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00769,Xã Mèo Vạc,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00778,Xã Sơn Vĩ,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00787,Xã Sủng Máng,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00802,Xã Khâu Vai,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00808,Xã Tát Ngà,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00817,Xã Niêm Sơn,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00820,Xã Yên Minh,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00829,Xã Thắng Mố,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00832,Xã Bạch Đích,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00847,Xã Mậu Duệ,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00859,Xã Ngọc Long,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00865,Xã Đường Thượng,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00871,Xã Du Già,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00874,Xã Quản Bạ,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00883,Xã Cán Tỷ,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00889,Xã Nghĩa Thuận,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00892,Xã Tùng Vài,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00901,Xã Lùng Tám,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00913,Xã Vị Xuyên,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00919,Xã Minh Tân,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00922,Xã Thuận Hoà,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
00925,Xã Tùng Bá,Xã,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,Tỉnh Tuyên Quang
